Legendary,Reminders,Rarity,Title,Color,Cost,Charges,Power,SubType,Text,Health,Type,Exp,Land Average Percentage to Hit,Artist,Generates
,Miracle,C,Warding Flame,R,1,,,,"Deal 1 damage to an enemy.
Miracle: Deal 1 damage to a random enemy.",,Spell,Helvault Unsealed,,Thomas Chamberlain-Keen,
,,C,Reckless Strike,R,3,,,,Deal 6 damage to a random enemy creature.,,Spell,Helvault Unsealed,,Armand Serrano,
,,C,Cage Match,R,5,,,,Choose 2 enemy creatures. Deal damage to each equal to the power of the other.,,Spell,Helvault Unsealed,,Arash Radkia,
,,R,Cursed Cross-breed,R,3,,3,Vampire Werewolf,"If you end your turn with 2 available mana, gets +1/+1 and then gets flying until your next turn ends.",3,Creature,Helvault Unsealed,,Rafater,
,,R,Young Pyromancer,R,3,,3,Wizard,"After you play a spell, summon an Emberling.",2,Creature,Helvault Unsealed,,Zoltan Boros,Emberling
,Moonlight,R,Fangblade Brigand,R,4,,4,Warrior,Moonlight,4,Creature,Helvault Unsealed,,Gabor Szikszai,Fangblade Eviscerator
,Debut,R,Falkenrath Duchess,R,5,,5,Vampire,Debut: Give each other friendly Vampire +2/+0.,4,Creature,Helvault Unsealed,,Zoltan Boros,
,,R,Hellfire Rain,R,3,,,,Destroy an enemy mana gem.,,Spell,Helvault Unsealed,,Arthur Bozonnet,
,"Haste;Fleeting",R,Heat Shimmer,R,4,,,,Summon a copy of a friendly creature and give it haste and fleeting.,,Spell,Helvault Unsealed,,Emrah Elmasli,
,Counter,R,Born from Lightning,R,7,,,,"Can't be countered.
Summon a random creature that costs 7 or more.",,Spell,Helvault Unsealed,,Quentin de Warren,
,"Activate;Temporary",R,Scalper's Stand,R,2,2,,,Activate: Draw a temporary card.,,Artifact,Helvault Unsealed,,Arthur Bozonnet,
,"Fleeting;Haste;Finale",E,Bloodcrazed Vampire,R,3,,3,Vampire,"Fleeting, Haste
Finale: Add a Bloodcrazed Vampire to your hand.",1,Creature,Helvault Unsealed,,Zoltan Boros,
,"Moonlight;Debut;Fragile",E,Gatstaf Agitators,R,3,,3,Civilian,"Moonlight
Debut: Get a fragile mana gem.",1,Creature,Helvault Unsealed,,Room 8 Studio,Gatstaf Plunderers
,"Flying;Attack",E,Archwing Ravager,R,5,,3,Dragon,"Flying
Attack: Destroy a random artifact. If you do, double this creature's power and health.",3,Creature,Helvault Unsealed,,Zoltan Boros,
,Debut,E,Infernal Broker,R,5,,6,Devil,Debut: Discard the highest-cost card in your opponent's hand and then add a random card of the same type to it.,6,Creature,Helvault Unsealed,,Arash Radkia,
,"Activate;Haste;Fleeting",E,Erratic Projector,R,6,3,,,Activate: Transform a friendly creature into a random creature with power 5 or greater. Give it haste and fleeting.,,Artifact,Helvault Unsealed,,Emrah Elmasli,
,Fragile,E,Emberspawn Crags,R,,,,,"Starting turn 5, you have a chance to add 2 Emberlings to your hand. If so, this turn's mana gem is fragile.",,Land,Helvault Unsealed,30,Room 8 Studio,Emberling
,"Flying;Miracle;Upgrade",M,Eternal Phoenix,R,4,,2,Elemental Bird,"Flying
Miracle: For the rest of the game, gets a random upgrade.
At end of turn, if this is in your graveyard, put it into your deck.",2,Creature,Helvault Unsealed,,Emrah Elmasli,
,,M,Blasphemous Act,R,6,,,,Deal 13 damage randomly split among all creatures.,,Spell,Helvault Unsealed,,Arthur Bozonnet,
,Finale,C,Tasty Morsel,G,1,,2,Beast,Finale: Give a random creature in your hand +1/+1.,1,Creature,Helvault Unsealed,,Arthur Bozonnet,
,"Moonlight;Sneak",C,Estwald Outcast,G,2,,2,Civilian,"Moonlight
Sneak",2,Creature,Helvault Unsealed,,Maria Poliakova,Estwald Prowler
,"Ward;Debut",C,Geist Hunters,G,2,,3,Ranger,"Ward
Debut: Give a random creature in your hand ward.",2,Creature,Helvault Unsealed,,Brian Valeza,
,Debut,C,Pasture Prowler,G,2,,3,Beast,Debut: Your opponent summons a Sheep.,4,Creature,Helvault Unsealed,,Armand Serrano,Sheep
,"Reach;Miracle",C,Sprouting Vinetooth,G,3,,4,Plant Monster,"Reach
Miracle: Give a random friendly creature +1/+1.",1,Creature,Helvault Unsealed,,Anastasia Shevchenko (Room 8),
,"Debut;Keywords;Moonlight",C,Dawnheart Shaman,G,4,,4,Mystic,Debut: Remove all keywords and moonlight from an enemy creature.,5,Creature,Helvault Unsealed,,Arthur Bozonnet,
,,C,Blighthoof Boar,G,4,,5,Beast,"After this survives a fight, it gets +2/+2.",5,Creature,Helvault Unsealed,,Halil Ural,
,"Reach;Trample",C,Goliath Spider,G,8,,8,Monster,"Reach
Trample",8,Creature,Helvault Unsealed,,Kudaman,
,Activate,C,Traveler's Supplies,G,1,2,,,Activate: Give the next 2 creatures you draw +1/+1.,,Artifact,Helvault Unsealed,,Brian Valeza,
,"Moonlight;Debut",R,Hermit of the Flock,G,3,,1,Civilian,"Moonlight
Debut: Summon a Sheep.",4,Creature,Helvault Unsealed,,Ani Larmina (Room 8),"Sheep;Protector of the Meek"
,,R,Beastkeeper,G,3,,2,Ranger,"After you summon a creature that costs 1 or less, give it +1/+1.",4,Creature,Helvault Unsealed,,Gabor Szikszai,
,Finale,R,Hapless Trapper,G,3,,2,Ranger,"Finale: At the end of this turn, summon a Hungry Bear.",1,Creature,Helvault Unsealed,,Yangtian Li,Hungry Bear
,Debut,R,Ulvenwald Tracker,G,3,,3,Warrior,Debut: Choose another friendly creature and an enemy creature. They fight!,2,Creature,Helvault Unsealed,,Karina Khoroshaylo (Room 8),
,"Trample;Debut;Draft",R,Hollowhenge Avenger,G,4,,5,Spirit,"Trample
Debut: Draft a creature and add two copies of it to your deck.",4,Creature,Helvault Unsealed,,Yangtian Li,
,Debut,R,Hunger of the Ulvenwald,G,5,,4,Ooze Monster,Debut: Summon a copy of this creature.,2,Creature,Helvault Unsealed,,Room 8 Studio,
,"Finale;Empty",R,Monstrous Mole,G,5,,6,Beast,Finale: Get an empty mana gem.,5,Creature,Helvault Unsealed,,Emrah Elmasli,
,"Draft;Base copy",R,Reclamation,G,2,,,,Draft a card from your graveyard and add a base copy of it to your hand.,,Spell,Helvault Unsealed,,Zoltan Boros,
,"Moonlight;Reach;Ward;Debut",E,Daybreak Ranger,G,4,,4,Ranger,"Moonlight, Reach, Ward
Debut: Mark an enemy creature.",3,Creature,Helvault Unsealed,,Thomas Chamberlain-Keen,Nightfall Predator
,Debut,E,Tree of Redemption,G,5,,0,Plant,Debut: Exchange this creature's health with yours.,13,Creature,Helvault Unsealed,,Kudaman,
,"Miracle;Trample;Haste;Sneak;Ward",E,Affront to Nature,G,6,,7,Monster,"Miracle: Gets trample and haste or sneak and ward, chosen at random.",4,Creature,Helvault Unsealed,,John Thacker,
,Upgrade,E,Eldritch Evolution,G,1,,,,Destroy a friendly creature to draw one that costs more from your deck and give it a random upgrade.,,Spell,Helvault Unsealed,,Wayne Wu,
,Activate,E,Thornhide Gauntlet,G,3,2,,,Activate: Give a friendly creature +2/+0 this turn for each time you targeted it this turn.,,Artifact,Helvault Unsealed,,Emrah Elmasli,
,,E,Woodland Hermitage,G,,,,,"Starting turn 6, you have a chance to draw a creature from your deck instead of getting a mana gem.",,Land,Helvault Unsealed,30,Thomas Chamberlain-Keen,
,"Haste;Debut",M,Craterhoof Behemoth,G,8,,5,Beast,"Haste
Debut: Give other friendly creatures and creatures in your hand +2/+2.",5,Creature,Helvault Unsealed,,Kudaman,
,,M,Primal Summoning,G,9,,,,Draw 4 cards. The next creature you play this turn costs 0.,,Spell,Helvault Unsealed,,Maria Poliakova,
,,R,Alabaster Faith,WU,2,,,,"Give a friendly creature +1/+1 and ""Attack: Draw a card.""",,Spell,Helvault Unsealed,,Brian Valeza,
Y,"Debut;Armor;Legendary",E,Geist of Saint Traft,WU,3,,3,Spirit Warrior,"Debut: Add an Angel to your hand.
After you summon an Angel, this gets armor.",2,Creature,Helvault Unsealed,,Thomas Chamberlain-Keen,Angel
,,R,Change Teams,UB,5,,,,Put an enemy creature into your deck.,,Spell,Helvault Unsealed,,Wayne Wu,
Y,"Relentless;Legendary",E,"Grimgrin, Hulking Skaab",UB,8,,9,Zombie Warrior,"Relentless
After Grimgrin is summoned from any graveyard, transform the enemy creature with the least power into a Zombie and gain control of it.",8,Creature,Helvault Unsealed,,Halil Ural,Zombie
,Drain,R,Crimson Raid,BR,4,,,,"Deal 5 damage to an enemy creature. If you control a Vampire, instead drain 5 from it.",,Spell,Helvault Unsealed,,Halil Ural,
Y,"Flying;Debut;Haste;Legendary",E,Olivia Voldaren,BR,6,,3,Vampire,"Flying
Debut: Gain control of an enemy creature this turn. Give it haste.",3,Creature,Helvault Unsealed,,David Cserkuti,
,"Moonlight;Haste",R,Hunter's Moon,RG,1,,,,Flip all friendly creatures with moonlight and give them haste.,,Spell,Helvault Unsealed,,Yangtian Li LLC,
Y,"Moonlight;Haste;Attack;Legendary",E,Ulrich the Outlander,RG,5,,5,Warrior,"Moonlight, Haste
Attack: Add a random creature with moonlight to your hand.",5,Creature,Helvault Unsealed,,Zoltan Boros,Ulrich the Huntmaster
,"Activate;Draft",R,Heron's Charm,GW,3,2,,,Activate: Draft a card that heals and add it to your hand.,,Artifact,Helvault Unsealed,,Emrah Elmasli,
Y,"Flying;Ward;Legendary",E,"Sigarda, Heron's Grace",GW,5,,4,Angel,"Flying
At the end of your turn, give your other friendly creatures ward.
You can't be dealt damage except by attacking creatures.",4,Creature,Helvault Unsealed,,Yangtian Li,
,,C,Body and Soul,WB,4,,,,Summon an Undead Striker and a Lingering Spirit.,,Spell,Helvault Unsealed,,Yangtian Li,"Undead Striker;Lingering Spirit"
,Activate,M,Sanguine Bond,WB,3,3,,,"Activate: This turn, healing yourself instead damages your opponent.",,Artifact,Helvault Unsealed,,Emrah Elmasli,
,Base copy,C,Extract Sample,UR,2,,,,"Deal 2 damage to an enemy creature. If it survives, add a base copy of it to your hand.",,Spell,Helvault Unsealed,,Arthur Bozonnet,
,"Activate;Temporary",M,Mind Magnifier,UR,5,2,,,Activate: Add a temporary copy of the last spell you played this turn to your hand. Change its cost to 1.,,Artifact,Helvault Unsealed,,Room 8 Studio,
,Strongest,C,Ghoultree Infusion,BG,4,,,,"Give a friendly creature +X/+X, where X is the power of the strongest creature in your graveyard.",,Spell,Helvault Unsealed,,Brian Valeza,
,Base copy,M,Grim Echoes,BG,9,,,,Destroy a friendly creature to summon base copies of it until your side is full.,,Spell,Helvault Unsealed,,Wayne Wu,
,"Armor;Attack;Haste",C,Cathar Charger,RW,5,,4,Soldier,"Armor
Attack: Give a random creature in your hand haste.",3,Creature,Helvault Unsealed,,Zoltan Boros,
,"Flying;Debut",M,Goldnight Harbinger,RW,6,,6,Angel Soldier,"Flying
Debut: Double the power of each creature in your deck.",4,Creature,Helvault Unsealed,,Yangtian Li LLC,
,"Debut;Draft;Upgrade",C,Adaptable Frill-neck,GU,2,,3,Beast,Debut: Draft an upgrade for this creature.,1,Creature,Helvault Unsealed,,Kudaman,
,Upgrade,M,Unstable Mutagens,GU,3,,,,"For the rest of the game, after you summon a creature, give it a random upgrade.",,Spell,Helvault Unsealed,,Brian Valeza,
,Activate,C,Grafdigger's Shovel,C,1,2,,,Activate: Put 3 random creatures from each player's graveyard into their deck.,,Artifact,Helvault Unsealed,,Emrah Elmasli,
,Finale,R,Caged Construct,C,4,,5,Construct,Finale: Each player draws 2 cards.,4,Creature,Helvault Unsealed,,Konstantin Porubov,
,Activate,E,Decorative Armor,C,4,3,,,Activate: Summon a Haunted Armor.,,Artifact,Helvault Unsealed,,Brandon Hunt,Haunted Armor
Y,"Activate;Finale;Sealed;Legendary",M,The Helvault,C,6,3,,,"Activate: Add a random sealed creature to your hand.
Finale: Change the cost of each sealed creature added to your hand to 1 for this turn.",,Artifact,Helvault Unsealed,,Room 8 Studio,
